Part No,Category,SMC LP,CUBIX LP,Description
AS2201F-01-08A,FLOWCONTROL,335,346.73,
KQ2H06-00A,Fitting,82,84.87,
KQ2H08-00A,Fitting,98,101.43,
KQ2L06-00A,Fitting,83,85.91,
KQ2L08-00A,Fitting,98,101.43,
ZSE20A-Y-01-JA1,,3855,3989.93,
ZSE20AF-Y-01-JA1,,3855,3989.93,
KQ2H10-12A,Fitting,121,125.24,
KQ2L06-02S,Fitting,110,113.85,
KQ2L08-01S,Fitting,119,123.17,
KQ2L04-M5,Fitting,89,92.12,
AS2201F-02-08A,,340,351.9,
AS1201F-M5-06A,,254,262.89,
VHS50-10A-S,,4720,4885.2,
PFM725-01-A-MA,,12180,12606.3,
PFM711-02-A-MA,,12180,12606.3,
PFMB7501-04-AW-MA,,16815,17403.53,
ISE20C-S-02-W,,10810,11188.35,
AW30-F03H-B,,2155,2230.43,
G46-10-01,,610,631.35,
Y34-F02-A,,450,465.75,
VVT340-021-03F,,1980,2049.3,
KQ2H12-03AS,Fitting,131,135.59,
KQ2L12-03AS,Fitting,203,210.11,
KQ2L12-00A,Fitting,140,144.9,
KQ2R08-12A,Fitting,121,125.24,
ANA1-C12,,580,600.3,
TS1209B(20Mtr),,4665,4828.28,
TS1209B(100Mtr),,20995,21729.83,
VF3230-5DZ1-02,,7655,7922.93,
RBLC1411S,,4840,5009.4,
VP342-5D1-02A,,2755,2851.43,
SY7000-GS-1,,445,460.58,
CDQ2B160-90DCMZ,,24515,25373.03,
CDQ2WA40X50DMZ,,4125,4269.38,
CD85N25-60C-B,,1885,1950.98,
CP96SDB125-350,,15295,15830.33,
CP96SDF63-400C,,6115,6329.03,
VF5220K-5D1-03,,8195,8481.83,
D-F8P,,1240,1283.4,
VQ7-8-FG-D-3ZRA06,,9599,9934.97,
VX210DG,,1460,1511.1,
VNB211A-15A-5DZ,,5550,5744.25,
D5040,,645,667.58,
SY70M-2-1DA-C10,,1355,1402.43,
MXQ20-100A-M9BL,,39365,40742.78,
MGPM12-20Z-M9BL,,7350,7607.25,
MGPM12-10Z,,4590,4750.65,
MGPM16-40Z,,5375,5563.13,
MHF2-12,,18875,19535.63,
MHZ2-20,,15365,15902.78,
MXS16-75A-M9BL,,31230,32323.05,
CD85N16-100-B-M9BL,,4375,4528.13,
MGPM12-10Z-M9BL,,7080,7327.8,
SS5Y7-20-07,,2160,2235.6,
SS5Y7-20-11,,3040,3146.4,
SS5Y7-20-05,,1635,1692.23,
SS5Y7-20-09,,2605,2696.18,
SS5Y7-20-04,,1325,1371.38,
AW40-04BD-2-B,,4055,4196.93,
G53-10-01-L,,770,796.95,
VP742-5D1-04NA,,4665,4828.28,
VG342-5DZ-10NA,,12370,12802.95,
NTH-050,,85,87.98,
KQ2T08-10A,,136,140.76,
CQ2B32-PS,,315,326.03,
CX2N25,,990,1024.65,
VBA20A-03,,30570,31639.95,
VBAT10A1-RV,,21380,22128.3,
KQ2F06-02A,,105,108.68,
ZP2-T11ANN-A5,,665,688.28,
ZH10BSA-06-06,,1505,1557.68,
RBC1412S,,2910,3011.85,
MGPM50_50Z,,12495,12932.33,
MGPM63_50Z_M9BL,,15655,16202.93,
MGPM63-30Z-A93L,,15115,15644.03,
MGPM63_25Z_M9BL,,23700,24529.5,
AC30-X5V2767,,13169,13629.92,
IRV20-C06BG,,5405,5594.18,
ARP20-01BG-1,,4280,4429.8,
KQG2L06-M5,,1015,1050.53,
CJB16-15Z-XB7,,2080,2152.8,
TL0604-20,,11775,12187.13,
ZL212-DBL,,31815,32928.53,
AC25-03DG1-B,,5090,5268.15,
MDBB40-600Z-M9PL,,7250,7503.75,
SY5220-5LZ-01,,3200,3312,
KQ2H06-U03A,,70,72.45,
KQ2S08-01AS,,96,99.36,
KQ2S08-02AS,,97,100.4,
SS5Y5-20-03,,685,708.98,
TU1065B-100,,10720,11095.2,
MDBB32-25Z-M9NZ,,5405,5594.18,
VP342-5DZ1-02A,,2910,3011.85,
AW40-04BCG1-B,,4330,4481.55,
D-M9PZ,,1440,1490.4,
BA4-063,,165,170.78,
D-Z73,,800,828,
CDS1LN200-700,,60655,62777.93,
CS2L125-730,,18950,19613.25,
C95SDB160-450,,40190,41596.65,
CP96SDB100-40C,,6540,6768.9,
C96SDB125-730,,19725,20415.38,
CP96SDB100-25C,,6325,6546.38,
CP96SDB50-200C,,3820,3953.7,
CP96SDB80-125C,,5775,5977.13,
C96SDB125-125,,11855,12269.93,
CQ2B16-5DC,,1220,1262.7,
CQ2B16-10DM,,1020,1055.7,
CQ2B20-20DC,,1370,1417.95,
KFGH2H1008-02,,1048,1084.68,
MPGM20-125AZ,,12070,12492.45,
VBA20A-03GN,,30570,31639.95,
VNA211AN-15A-5DZQ,,6170,6385.95,
VNA212AN-15A-5DZQ,,6170,6385.95,
VG342R-5DZ-04NAEQ,,12365,12797.78,
VX224AZ2AXB,,3730,3860.55,
TU1065W-20,,2145,2220.08,
KQ2U10-00A,,178,184.23,
AW20-F02E-B,,2145,2220.08,
D-A93L,,890,921.15,
VT307-5DZ1-02-F,,2290,2370.15,
AS1201F-M5-04A,,211,218.39,
AS2201F-01-06A,,335,346.73,
KQ2L04-M5A,,89,92.12,
KQ2L06-U02A,,83,85.91,
TU0604BU-100,,3730,3860.55,
VMG11BU-02-03,,1360,1407.6,1456.87
VBA40A-04,,48985,50699.48,
VBA40A-04GN,,48985,50699.48,
C96YC32-500,,4700,4864.5,
IR1010-01BG1-A,,4065,4207.28,
IR412-04BG1,,11520,11923.2,
VM151-01-35BA,,2305,2385.68,
VXA2120-01-1-B,,1800,1863,
KQ2L10-U01A,,122,126.27,
KQ2H10-U01A,,77,79.7,
VFRA3211-03,,6710,6944.85,
AMC610-10D,,5330,5516.55,
ZSE20AF-V-01-J,,3930,4067.55,
I-AW20-02BG1,,1645,1702.58,
SY7120-5LZ-02,,2250,2328.75,
TU0604YR-100,,6615,6846.53,
CG1N20Z-PS,,665,688.28,
BMA3-020,,295,305.33,
CDG1BA20-75Z-M9BL,,6315,6536.03,
CDQMA32-100,,6320,6541.2,
C96YB32-500C,,7780,8052.3,
CD85N20-20-B,,1590,1645.65,
IDFA6E-23,,46360,47982.6,
AFF11C-06BD,,9980,10329.3,
AMH450C-06BD,,21060,21797.1,
AMF450C-06B,,16915,17507.03,
AV3000-03-5DZ,,7840,8114.4,
AC30A-03G1-B,,4290,4440.15,
CDQMB32-50,,5262,5446.17,
CDQMB32-65,,5900,6106.5,
CDQMB32-75,,5589,5784.62,
CDQMB50-50,,7505,7767.68,
CDQSB25-25DM,,2835,2934.23,
MHL2-40D_200,,41495,42947.33,
MKB40TF-30LZ,,9635,9972.23,
MY3A32-90,,14665,15178.28,
MDBB40-650Z-M9BL,,6640,6872.4,
ASP430F-02-08S,,2265,2344.28,
WR110-02-X224,,5715,5915.03,
MY1H32-300Z-M9PL,,52790,54637.65,
CP96SDB63-1375C-X1Y3366A,,13585,14060.48,
L5063,,670,693.45,
JA50-16-150,,1870,1935.45,
GKM16-32,,500,517.5,
SY7220-5DZ-02-F2,,4840,5009.4,
ITV3050-344BL3,,27920,28897.2,
ITV1050-042S2,,14435,14940.23,
VQZ115-5L1-C6,,1745,1806.08,
PA5110-06-N,,43900,45436.5,
AC30A-F03G1-B,,3805,3938.18,
KQ2H10-02AS,,100,103.5,
CP96SD100-700C-XB6,,17935,18562.73,
CP96SD80-125C-XB6,,10310,10670.85,
MY1B100TF-2000-M9PL,,181835,188199.23,
KJ20D,,1575,1630.13,
E510,,1940,2007.9,
GKM20-40,,835,864.23,
C5080,,1040,1076.4,
AS3200-F03,,1210,1252.35,
AS4200-F04,,1235,1278.23,
VQ4200-31-03F,,6745,6981.08,
VQ5200-31-04F,,7675,7943.63,
AC40A-04DG-B,,5860,6065.1,
ZS-46-N1,,230,238.05,
D-M9N,,1155,1195.43,
AMD550C-06BC-T,,23425,24244.88,
CA2B50-50Z,,890,921.15,
AW30-03G1-B,,2215,2292.53,
CS1LN250-150-CJMD1859,,195955,202813.43,
ISE30A-01-F-LA1,,3965,4103.78,
KQ2L06-M5,,90,93.15,
ZS-46-D,,365,377.78,
SS5Y5-20-05,,1080,1117.8,
IBG11 -04,,8175,8461.13,
MDB1B80-540Z,,8325,8616.38,
CDQMB40-50,,6610,6841.35,
CM2F32-50Z,,2245,2323.58,
CM2F32-25Z,,2190,2266.65,
KQ2F12-04A,,170,175.95,
CP96SDB80-150C-M9PL,,8510,8807.85,
"7,130.00",,2910,3011.85,
SY5420-5DZ-01-F2,,5945,6153.08,
KQ2T08-06A,,149,154.22,
MGPM25-30Z,,7130,7379.55,
AW40-03D-B,,3725,3855.38,
KQ2F08-01A,,103,106.61,
KQ2F08-01A,,4075,4217.63,
KQ2L06-01A,,105,108.68,
MHL32-PS,,2245,2323.58,
MGPM32-25Z,,9655,9992.93,
MGPM25-20Z,,7025,7270.88,
ITV2050-04F2CN-X256,,44050,45591.75,
LEFS25B-300-S3AN3,,48980,50694.3,
LEFS32RB-250-S3AN3,,57360,59367.6,
LEYG16LC-100W-S3AN3D,,58930,60992.55,
IP8000-001-X308,,89865,93010.28,
CP96SDB63-150C,,4320,4471.2,
CS5063,,1560,1614.6,
D5063,,810,838.35,
MDB1B125-100Z,,17820,18443.7,
MB-D12,,2075,2147.63,
Y-12M,,1700,1759.5,
VP3185V-125DZB1-F,,18645,19297.58,
ZS-33-F,,420,434.7,
MKB40TF-30RZ,,9635,9972.23,
ZSE20A-S-01-J,,3930,4067.55,
KK130P-08H,,237,245.3,
KK130S-08H,,583,603.41,
CG-032-24A,,460,476.1,
SY5240-5LZ-Q,,3785,3917.48,
SY5140-5LZ-Q,,2915,3017.03,
SS5Y5-41-03-C6-Q,,2945,3048.08,
CA2-50Z-XC12-PS,,1330,1376.55,
VXZ242FE- KT1,,2445,2530.58,
VXZ242FE,,4230,4378.05,
SS5Q1-X2W1171,,27060,28007.1,
CDA2F80-280Z,,10850,11229.75,
CDQ2B80-50DMZ-A93,,7465,7726.28,
ITV2030-312S2,,18300,18940.5,
SY9240-5DZ-04,,6340,6561.9,
BMY-016,,65,67.28,
PFM711-F02-F-R,,11505,11907.68,
AC20-02G1-B,,2470,2556.45,
AC40-04G1-B,,4525,4683.38,
SY7120-4DZ-02,,3065,3172.28,
V111-5LZ,,1530,1583.55,
C85Y25-50S,,1825,1888.88,
KK6S-04F,,863,893.21,
KK6P-04MS,,216,223.56,
KN-R04-600,,216,223.56,
KN10-R10-800,,977,1011.2,
MXQ12-50,,22485,23271.98,
AF30-F02-A,,1160,1200.6,
CD85N20-50-B-M9PL,,4730,4895.55,
CD85N25-40-B-M9PL,,4730,4895.55,
CD85N20-25-B-M9PL,,4680,4843.8,
CD85N25-80-B-M9PL,,4820,4988.7,
CD85N25-160-B-M9PL,,4915,5087.03,
MHZ2-16D,,11180,11571.3,
SY5Y5-20-12,,4045,4186.58,
RBC1006,,2070,2142.45,
JA30-10-125,,1230,1273.05,
JA20-8-125,,1165,1205.78,
SYJA714-02,,2095,2168.33,
AKH08-00,,700,724.5,
CP96SB63-25C,,3585,3710.48,
CP96SB63-50C,,3710,3839.85,
CP96SDF40-140C-M9PL,,6005,6215.18,
TU1065W-100,,10730,11105.55,
TU1208W-100,,15865,16420.28,
TU0805W-100,,6765,7001.78,
VG342-5DZ-10A,,12370,12802.95,
AF60-10D-A,,4965,5138.78,
CH2GFY40C-200A,,15440,15980.4,
CH2GFY80B-1750A,,77780,80502.3,
CH2HFY80B-1750A,,114265,118264.28,
ZSE20A-T-01-J,,3895,4031.33,
TILM19N-100,,243604,252130.14,
TILM32N-33,,,0,
LQ3U7A,,,0,
LQ3U5A,,3080,3187.8,
LVA50-06-B,,12910,13361.85,
ISE20A-Y-01-JA2,,3855,3989.93,
AC30A-03BG1-B,,6185,6401.48,
SYA7440-03,,4700,4864.5,
ISE20-N-01-L,,3710,3839.85,
AF30-03D-6-A,,2220,2297.7,
AFM40-03D-6-A,,3530,3653.55,
MHW2-40D,,28870,29880.45,
MGP20-PS,,250,258.75,
ISE20C-V-02-WA1,,12950,13403.25,
MXQ12-40BSAT,,26780,27717.3,
MXQ16-75B,,35835,37089.23,
MGPL16-25AZ-XC8,,11205,11597.18,
CDM2B32-175AZ-M9PL,,6795,7032.83,
AFM30-02-A,,1950,2018.25,
AC30A-03-B,,3495,3617.33,
D-Z73L,,925,957.38,
TUZ0604Y-20,,1715,1775.03,
TUZ0604BU-20,,1715,1775.03,
TUZ0604G-20,,1715,1775.03,
CRB1BW80-100D,,14630,15142.05,
CA2-50Z-PS,,890,921.15,
CA2B50-50Z,,4870,5040.45,
CG1N40Z-PS,,985,1019.48,
CG1DN40-50Z,,3400,3519,
VFR2100-1FZC,,4735,4900.73,
AXT624-20-2,,20,20.7,
L1462,,1950,2018.25,
AFF-EL22B,,5520,5713.2,
AMG-EL550,,4365,4517.78,
AMD-EL550,,11400,11799,
AFF-EL11B,,4825,4993.88,
AMG-EL450,,2845,2944.58,
AMH-EL450,,9560,9894.6,
IBG11-H08-12,,9150,9470.25,
VM-G11BU-02,,1210,1252.35,
KN-R02-100,,175,181.13,
KN-R02-150,,175,181.13,
KN-R02-200,,175,181.13,
KNS-R02-075-4,,286,296.01,
KNS-R02-090-8,,333,344.66,
KNS-R02-100-4,,286,296.01,
KNS-R02-110-8,,333,344.66,
KM11-04-08-10,,864,894.24,
CDQMB32-75,,5900,6106.5,
ISE20-P-C6L,,3750,3881.25,
AFF2C-02B,,2540,2628.9,
ZSE20-P-M-C6-L-LA1,,3890,4026.15,
ZSE20-P-M-M5,,3160,3270.6,
AW20-N02G1-2-B,,1830,1894.05,
C85N20-585C,,3000,3105,
ZPT100HN-B16,,2525,2613.38,
MBWL80-350JZ-A93L,,13185,13646.48,
CXSM10-50,,5785,5987.48,
AS1000-M5,,580,600.3,
CRA1BS50-90CZ,,14570,15079.95,
CDS2B140-250,,16445,17020.58,
MBB40-500Z,,3380,3498.3,
VR2110-01,,5610,5806.35,
AC60A-F10DG1-B,,10795,11172.83,
CDS2D160-300,,22540,23328.9,
CDM2L32-160Z,,2830,2929.05,
CDA2D80-300Z,,10850,11229.75,
CDA2F100-250Z,,12990,13444.65,
